time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
2019-02-25T00:00:00Z,3733.5,3854.5,3730,3818,1189.8290499999998,1282.3459999999998,876.3760999999998,1181271511,1173063141
2019-02-26T00:00:00Z,3818,3826,3750,3797,1189.8290499999998,1282.3459999999998,876.3760999999998,868952398,1170014167.85
2019-02-27T00:00:00Z,3797,3821.5,3640,3798,1189.8290499999998,1282.3459999999998,876.3760999999998,1160849783,1211392993.45
2019-02-28T00:00:00Z,3798,3895,3741,3788,1189.8290499999998,1282.3459999999998,876.3760999999998,1171406068,1182185834.05
2019-03-01T00:00:00Z,3788,3839,3784.5,3802,1189.8290499999998,1282.3459999999998,876.3760999999998,565492632,1177226640.05
2019-03-02T00:00:00Z,3802,3819,3754,3808,1189.8290499999998,1282.3459999999998,876.3760999999998,540450028,1167633407.05
2019-03-03T00:00:00Z,3808,3816.5,3757,3785.5,1189.8290499999998,1282.3459999999998,876.3760999999998,504059676,1155599949.25
2019-03-04T00:00:00Z,3785.5,3804.5,3669,3698.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1237930792,1173980039.75
2019-03-05T00:00:00Z,3698.5,3880,3691,3846.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1424807550,1212759694.4
2019-03-06T00:00:00Z,3846.5,3901,3810.5,3849,1189.8290499999998,1282.3459999999998,876.3760999999998,856845523,1226031631.95
2019-03-07T00:00:00Z,3849,3889,3828,3854,1189.8290499999998,1282.3459999999998,876.3760999999998,1037324028,1241477640.65
2019-03-08T00:00:00Z,3854,3913.5,3742.5,3840,1189.8290499999998,1282.3459999999998,876.3760999999998,1197247739,1269977061.85
2019-03-09T00:00:00Z,3840,3943,3831.5,3916,1189.8290499999998,1282.3459999999998,876.3760999999998,1263671482,1282198938.55
2019-03-10T00:00:00Z,3916,3916,3860,3897.5,1189.8290499999998,1282.3459999999998,876.3760999999998,583852214,1167720601.1
2019-03-11T00:00:00Z,3897.5,3912.5,3806,3845,1189.8290499999998,1282.3459999999998,876.3760999999998,943232476,1111977864.95
